"species" "Lineage_Name" "parasiteGenus" "continent" "country" "Migratory_Status"
"Turdus philomelos" "SYAT05" "Plasmodium" "Europe" "Portugal" "Migratory"
"Turdus philomelos" "TURDUS1" "Plasmodium" "Europe" "Sweden" "Migratory"
"Turdus philomelos" "TUCHR01" "Haemoproteus" "Asia" "Russia" "Migratory"
"Turdus philomelos" "TUPHI05" "Leucocytozoon" "Europe" "Portugal" "Migratory"
"Turdus philomelos" "STUR1" "Leucocytozoon" "Europe" "Portugal" "Migratory"
"Turdus philomelos" "TUPHI01" "Haemoproteus" "Asia" "Russia" "Migratory"
"Turdus philomelos" "TURDUS1" "Plasmodium" "Europe" "Bulgaria" "Migratory"
"Turdus philomelos" "TURDUS1" "Plasmodium" "Europe" "Germany" "Migratory"
"Turdus philomelos" "STUR1" "Leucocytozoon" "Europe" "Lithuania" "Migratory"
"Turdus philomelos" "LINN1" "Plasmodium" "Oceania" "New Zealand" "Migratory"
"Turdus philomelos" "TUPHI06" "Leucocytozoon" "Europe" "Portugal" "Migratory"
"Turdus pilaris" "TUCHR01" "Haemoproteus" "Asia" "Russia" "Migratory"
"Turdus pilaris" "TURDUS2" "Haemoproteus" "Asia" "Russia" "Migratory"
"Turdus pilaris" "CAP3" "Leucocytozoon" "Europe" "Sweden" "Migratory"
"Turdus pilaris" "TURPIL01" "Plasmodium" "Europe" "Sweden" "Migratory"
"Turdus rubrocanus" "TURDUS2" "Haemoproteus" "Asia" "China" "Migratory"
"Turdus rufiventris" "TUMIG03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "DENPET03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "TURUF02" "Haemoproteus" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "TURUF03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "TURUF03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "TURUF04" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "PADOM09" "Plasmodium" "South America" "Uruguay" "Tropical_resident"
"Turdus rufiventris" "TURUF01" "Plasmodium" "South America" "Uruguay" "Tropical_resident"
"Turdus rufiventris" "SPMAG06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "TURUF03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "TURUF03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus rufiventris" "PADOM09" "Plasmodium" "South America" "Uruguay" "Tropical_resident"
"Turdus rufiventris" "TUMIG03" "Plasmodium" "South America" "Uruguay" "Tropical_resident"
"Turdus rufiventris" "VOLJAC02" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus serranus" "TROAED20" "Haemoproteus" "South America" "Ecuador" "Tropical_resident"
"Turdus torquatus" "TURDUS2" "Haemoproteus" "Europe" "Bulgaria" "Migratory"
"Turdus unicolor" "AFTRU5" "Plasmodium" "Asia" "India" "Migratory"
"Turdus viscivorus" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus viscivorus" "SGS1" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus viscivorus" "SGS1" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus viscivorus" "MTUR1" "Leucocytozoon" "Europe" "Sweden" "Temperate_resident"
"Turdus viscivorus" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus viscivorus" "CUKI1" "Haemoproteus" "Africa" "Morocco" "Temperate_resident"
"Turdus viscivorus" "TUVIS02" "Leucocytozoon" "Africa" "Morocco" "Temperate_resident"
"Turdus viscivorus" "TUVIS01" "Leucocytozoon" "Africa" "Morocco" "Temperate_resident"
"Turdus viscivorus" "MTUR2" "Leucocytozoon" "Europe" "Sweden" "Temperate_resident"
