"species" "Lineage_Name" "parasiteGenus" "continent" "country" "Migratory_Status"
"Turdus leucomelas" "GRW06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "GRW06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU02" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "DENPET03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU07" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TURUF03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU05" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TUAMA01" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU06" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU04" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus leucomelas" "TULEU03" "Plasmodium" "South America" "Brazil" "Tropical_resident"
"Turdus libonyana" "AFTRU4" "Plasmodium" "Africa" "Malawi" "Tropical_resident"
"Turdus libonyana" "AFTRU4" "Plasmodium" "Africa" "Malawi" "Tropical_resident"
"Turdus merula" "GRW06" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "AFTRU5" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "AFTRU5" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "AFTRU5" "Plasmodium" "Europe" "Italy" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "LINN1" "Plasmodium" "Europe" "Italy" "Temperate_resident"
"Turdus merula" "LINN1" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "LINN1" "Plasmodium" "Europe" "Germany" "Temperate_resident"
"Turdus merula" "HAWF6" "Haemoproteus" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "LINN1" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "LINN1" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "LINN1" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Asia" "Russia" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Asia" "Russia" "Temperate_resident"
"Turdus merula" "TUMER02" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TUMER03" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "PARUS1" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "LINN1" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TUMER07" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SGS1" "Plasmodium" "Europe" "Italy" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Germany" "Temperate_resident"
"Turdus merula" "GRW06" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
