#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
9064	TUMIG08	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	3	5	Galen et al unpubl	 
9065	TUMIG09	L.AK14	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Unknown	Wild	North America	United States	Alaska	Anchorage	61°09.00000', -149°10.00000'	 	 	Oakgrove et al 2014	 
9066	TUMIG09	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	5	Galen et al unpubl	 
9067	TUMIG09	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 35.8	65°09.80458', -147°19.27422'	1	9	Galen et al unpubl	 
9068	TUMIG1	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	 	 	Wild	North America	United States	 	 	 	 	 	Perkins & Schall 2002	 
9069	TUMIG10	H.AK07	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Unknown	Wild	North America	United States	Alaska	Fairbanks	64°52.00000', -147°44.00000'	 	 	Oakgrove et al 2014	 
9070	TUMIG11	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	2	8	Galen et al unpubl	 
9071	TUMIG11	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	1	2	Galen et al unpubl	 
9072	TUMIG11	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 35.8	65°09.80458', -147°19.27422'	2	9	Galen et al unpubl	 
9073	TUMIG11	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Unknown	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2017	 
9080	TUMIG12	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	8	Galen et al unpubl	 
9082	TUMIG13	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	8	Galen et al unpubl	 
9083	TUMIG14	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 35.8	65°09.80458', -147°19.27422'	1	9	Galen et al unpubl	 
9084	TUMIG15	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 35.8	65°09.80458', -147°19.27422'	2	9	Galen et al unpubl	 
9085	TUMIG16	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	8	Galen et al unpubl	 
9086	TUMIG17	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	8	Galen et al unpubl	 
9087	TUMIG18	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Steese Highway Mile 35.8	65°09.80458', -147°19.27422'	1	9	Galen et al unpubl	 
9088	TUMIG19	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	5	Galen et al unpubl	 
9089	TUMIG20	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	1	8	Galen et al unpubl	 
9090	TUMIG21	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	5	Galen et al unpubl	 
9091	TUOBS01	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus obscurus	 	 	 	Wild	Asia	Russia	 	 	 	 	 	Palinauskas et al unpubl	Russia (Asia)
9092	TUOLI01	HMA2012	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus olivater	 	Resident	Unknown	Wild	South America	Colombia	 	Sierra Nevada de Santa Marta	10°45.00000', -073°40.00000'	1	1	Gonzales-Quevedo et al 2016	 
9093	TUPHI01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	 	 	Wild	Europe	Bulgaria	 	 	 	4	5	Dimitrov et al 2010	 
9096	TUPHI01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	 	 	Wild	Asia	Russia	Sverdlovskaya Oblast'	Ural Mountains	57°20.00000', 059°49.00000'	2	6	Palinauskas et al 2013	 
9098	TUPHI01	H034	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	Resident	Adult	Wild	Europe	Portugal	 	 	 	1	4	Mata et al 2015	 
9099	TUPHI02	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	 	 	Wild	Europe	Bulgaria	 	 	 	 	 	Dimitar Dimitrov unpubl	 
9100	TUPHI04	H275	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	Resident	Unknown	Wild	Europe	Portugal	 	 	 	1	4	Mata et al 2015	 
9101	TUPHI05	H276	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	Resident	Unknown	Wild	Europe	Portugal	 	 	 	1	4	Mata et al 2015	 
9102	TUPHI06	H377	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	Resident	Adult	Wild	Europe	Portugal	 	 	 	1	4	Mata et al 2015	 
9106	TURALB01	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus albicollis	 	Resident	Unknown	Wild	South America	Brazil	 	Madeira28	-09°07.00000', -064°28.00000'	 	 	Fecchio et al 2017a	 
9107	TURAMA01	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	Resident	Unknown	Wild	South America	Brazil	 	Cerrado	-15°32.00000', -047°33.00000'	 	 	Fecchio et al 2017a	 
9108	TURAMA03	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	Resident	Unknown	Wild	South America	Brazil	 	COM	-13°48.00000', -059°41.00000'	 	 	Fecchio et al 2017a	 
9121	TURDUS1	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Europe	Sweden	 	 	 	 	 	Hellgren et al 2007b	 
9122	TURDUS1	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	 	 	Wild	Europe	Sweden	 	 	 	 	 	Waldenström et al 2002	 
9127	TURDUS1	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	 	 	Wild	Europe	Bulgaria	 	 	 	1	5	Dimitrov et al 2010	 
9164	TURDUS1	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus merula	 	Migratory	Adult	Wild	Europe	Sweden	 	Kvismaren	59°10.00000', 015°25.00000'	1	2	Nilsson et al 2016	 
9166	TURDUS1	TURDUS1	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	Migratory	Unknown	Wild	Europe	Germany	 	Mooswald Forest	48º00.00000', 007º51.00000'	3	12	Santiago-Alarcon et al 2016	 
9180	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Asia	Russia	Kaliningradskaya Oblast'	 	 	 	 	Hellgren et al 2007a	 
9181	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Europe	Sweden	 	 	 	 	 	Hellgren et al 2007a	 
9182	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Europe	Lithuania	 	 	 	 	 	Hellgren et al 2007b	 
9185	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Asia	Russia	Kaliningradskaya Oblast'	 	 	 	 	Valkiunas et al 2008c	 
9186	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus torquatus	 	 	 	Wild	Europe	Bulgaria	 	 	 	1	1	Dimitrov et al 2010	 
9188	TURDUS2	TURDUS2	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	 	 	Wild	Asia	Russia	Kaliningradskaya Oblast'	Curonian Spit	55°05.00000', 020°44.00000'	1	 	Valkiunas et al 2013a	 
9189	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus iliacus	 	 	 	Wild	Asia	Russia	Sverdlovskaya Oblast'	Ural Mountains	57°20.00000', 059°49.00000'	1	4	Palinauskas et al 2013	 
9190	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus pilaris	 	 	 	Wild	Asia	Russia	Sverdlovskaya Oblast'	Ural Mountains	57°20.00000', 059°49.00000'	3	13	Palinauskas et al 2013	 
9191	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus rubrocanus	 	Migratory	 	Wild	Asia	China	Gansu	 	 	2	2	Zehtindjiev et al 2013	 
9195	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Unknown	Wild	Asia	Armenia	 	Artavaz	40°36.60000', 044°34.80000'	5	5	Drovetski et al 2014	 
9196	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Armenia	 	Artavaz	40°36.60000', 044°34.80000'	15	16	Drovetski et al 2014	 
9197	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Armenia	 	Fantan	40°22.20000', 044°41.40000'	1	2	Drovetski et al 2014	 
9198	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Armenia	 	Hankavan	40°37.20000', 044°28.20000'	2	2	Drovetski et al 2014	 
9199	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Armenia	 	Kaler	39°04.20000', 046°16.20000'	2	3	Drovetski et al 2014	 
9200	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Armenia	 	Meghri	38°54.00000', 046°14.40000'	2	3	Drovetski et al 2014	 
9201	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Armenia	 	Stepanavan Dendropark	40°56.40000', 044°28.80000'	2	2	Drovetski et al 2014	 
9202	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Armenia	 	Zikatar	41°07.80000', 044°55.20000'	5	5	Drovetski et al 2014	 
9203	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Unknown	Wild	Africa	Morocco	 	Meknes	33°54.00000', -005°33.00000'	1	2	Drovetski et al 2014	 
9204	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Juvenile	Wild	Europe	Portugal	 	Grada	40°18.00000', -008°28.20000'	1	16	Drovetski et al 2014	 
9205	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Europe	Portugal	 	Mata do Camarido	41°51.60000', -008°51.60000'	1	4	Drovetski et al 2014	 
9206	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Unknown	Wild	Europe	Portugal	 	Mindelo	41°19.20000', -008°43.80000'	1	9	Drovetski et al 2014	 
9207	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Juvenile	Wild	Europe	Portugal	 	Sendim da Ribeira	41°19.20000', -006°55.20000'	2	3	Drovetski et al 2014	 
9208	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Russia	Krasnodarskiy Kray	Perevalka	44°03.60000', 040°43.80000'	1	6	Drovetski et al 2014	 
9209	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Juvenile	Wild	Asia	Russia	Krasnodarskiy Kray	Perevalka	44°03.60000', 040°43.80000'	2	10	Drovetski et al 2014	 
9210	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Unknown	Wild	Asia	Russia	Krasnodarskiy Kray	Serebryannyi Klyuch	44°12.00000', 040°04.80000'	1	1	Drovetski et al 2014	 
9211	TURDUS2	turdus 2,HMA-2012 STTA10H	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Unknown	Wild	North America	United States	Alaska	Denali Highway	63°07.00000', -146°33.00000'	 	 	Oakgrove et al 2014	 
9214	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Unknown	Wild	Europe	Italy	 	 	 	3	73	Martinez-de la Puente et al 2015	in mosquito blood meals
9215	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Africa	Morocco	 	 	 	1	13	Mata et al 2015	 
9216	TURDUS2	H029	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult + Juvenile	Wild	Europe	Portugal	 	 	 	5	60	Mata et al 2015	 
9220	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Migratory	Juvenile	Wild	Europe	Sweden	 	Kvismaren	59°10.00000', 015°25.00000'	1	4	Nilsson et al 2016	 
9221	TURDUS2	H-TURDUS2,WTTH61H	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Migratory	Unknown	Wild	Europe	Germany	 	Mooswald Forest	48º00.00000', 007º51.00000'	3	21	Santiago-Alarcon et al 2016	 
9225	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	2	8	Galen et al unpubl	 
9226	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	5	Galen et al unpubl	 
9227	TURDUS2	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus merula	 	Resident	Adult	Wild	Asia	Iran	Zanjan	 	 	2	 	Nourani et al 2018	 
9229	TURNAU01	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus naumanni	 	Migratory	Unknown	Captivity	Asia	Japan	 	Gyotoku Wild Bird Hospital	35°40.10030’, 139°54.94480'	1	3	Inumaru et al 2017	injured and rescued wild birds
9230	TUROLI01	P_TUROLI01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	São Tomé	 	 	 	 	Loiseau et al 2017	 
9231	TUROLI02	P_TUROLI02	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	São Tomé	 	 	 	 	Loiseau et al 2017	 
9232	TUROLI03	P_TUROLI03	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	São Tomé	 	 	 	 	Loiseau et al 2017	 
9233	TUROLI04	P_TUROLI04	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	São Tomé	 	 	 	 	Loiseau et al 2017	 
9234	TUROLI05	H_TUROLI05	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	São Tomé	 	 	 	 	Loiseau et al 2017	 
9235	TUROLI06	L_TUROLI06	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	Príncipe	 	 	 	 	Loiseau et al 2017	 
9237	TUROLI08	L_TUROLI08	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	Príncipe	 	 	 	 	Loiseau et al 2017	 
9238	TUROLI09	L_TUROLI09	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	Príncipe	 	 	 	 	Loiseau et al 2017	 
9239	TUROLI10	L_TUROLI10	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	São Tomé	 	 	 	 	Loiseau et al 2017	 
9240	TUROLI11	P_TUROLI11	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	São Tomé	 	 	 	 	Loiseau et al 2017	 
9241	TUROLI12	P_TUROLI12	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus olivaceofuscus	 	Resident	Unknown	Wild	Africa	São Tomé and Príncipe	São Tomé	 	 	 	 	Loiseau et al 2017	 
9242	TURPAL01	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus pallidus	 	Migratory	Unknown	Wild	Asia	Japan	Okinawa	 	 	 	 	Murata et al unpubl	 
9243	TURPEL01	L_TURPEL01	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	Resident	Unknown	Wild	Africa	Equatorial Guinea	 	Bioko Island	03°30.00000', 008°41.45000'	 	 	Loiseau et al 2017	 
9244	TURPEL01	L_TURPEL01	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	Resident	Unknown	Wild	Africa	Cameroon	 	 	 	 	 	Loiseau et al 2017	 
9245	TURPEL02	L_TURPEL02	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus pelios	 	Resident	Unknown	Wild	Africa	Gabon	 	 	 	 	 	Loiseau et al 2017	 
9246	TURPEL03	P_TURPEL03	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus pelios	 	Resident	Unknown	Wild	Africa	Gabon	 	 	 	 	 	Loiseau et al 2017	 
9247	TURPEL04	P_TURPEL04	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus pelios	 	Resident	Unknown	Wild	Africa	Gabon	 	 	 	 	 	Loiseau et al 2017	 
9248	TURPIL01	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus pilaris	 	Migratory	Juvenile	Wild	Europe	Sweden	 	Kvismaren	59°10.00000', 015°25.00000'	1	2	Nilsson et al 2016	 
9255	TURUF01	17	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	 	 	Wild	South America	Uruguay	 	 	 	 	 	Durrant et al 2006	 
9256	TURUF02	TURUF02	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	 	 	Wild	South America	Brazil	 	Caratinga	-19°47.00000', -042°08.00000'	1	 	Lacorte et al 2013	 
9257	TURUF03	TURUF01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	 	 	Wild	South America	Brazil	 	Nova Lima	-19°59.00000', -043°50.00000	1	 	Lacorte et al 2013	 
9258	TURUF03	TURUF01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	 	 	Wild	South America	Brazil	 	Caratinga	-19°47.00000', -042°08.00000'	2	 	Lacorte et al 2013	 
9259	TURUF03	TLSB1107,TRJB10,TRJB27	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	Resident	Unknown	Wild	South America	Brazil	Minas Gerais	Juiz de Fora	-21°43.00000', -043°22.00000'	 	 	Tostes et al 2018	 
9260	TURUF03	TLSB1107,TRJB10,TRJB27	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	Resident	Unknown	Wild	South America	Brazil	Minas Gerais	Juiz de Fora	-21°43.00000', -043°22.00000'	 	 	Tostes et al 2018	 
9261	TURUF03	TLSB1107,TRJB10,TRJB27	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	Resident	Unknown	Wild	South America	Brazil	Minas Gerais	Juiz de Fora	-21°43.00000', -043°22.00000'	 	 	Tostes et al 2018	 
9262	TURUF04	TRCA305	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	Resident	Unknown	Wild	South America	Brazil	Minas Gerais	Juiz de Fora	-21°43.00000', -043°22.00000'	 	 	Tostes et al 2018	 
9297	TUVIS01	H239	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus viscivorus	 	Resident	Juvenile	Wild	Africa	Morocco	 	 	 	1	4	Mata et al 2015	 
9298	TUVIS02	H240	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus viscivorus	 	Resident	Juvenile	Wild	Africa	Morocco	 	 	 	1	4	Mata et al 2015	 
9384	VOLJAC02	BAFLA03	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus rufiventris	 	 	 	Wild	South America	Brazil	 	Caratinga	-19°47.00000', -042°08.00000'	1	 	Lacorte et al 2013	 
