#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
8320	SYAT32	SYAT32	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	Migratory	Unknown	Wild	Europe	Germany	 	Mooswald Forest	48º00.00000', 007º51.00000'	1	12	Santiago-Alarcon et al 2016	 
8627	TFUS01	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	 	 	Wild	South America	Colombia	 	Chingaza NNP, Monterredondo	04°37.34100', -073°44.30500'	1	8	Lotta et al 2013	 
8628	TFUS02	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	 	 	Wild	South America	Colombia	 	Chingaza NNP, Monterredondo	04°37.34100', -073°44.30500'	1	8	Lotta et al 2013	 
8629	TFUS03	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	 	 	Wild	South America	Colombia	 	Chingaza NNP, Monterredondo	04°37.34100', -073°44.30500'	1	8	Lotta et al 2013	 
8630	TFUS04	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	 	 	Wild	South America	Colombia	 	Chingaza NNP, Monterredondo	04°37.34100', -073°44.30500'	1	8	Lotta et al 2013	 
8631	TFUS05	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	 	 	Wild	South America	Colombia	 	Universidad Nacional de Colombia-Bogota	04°38.00000', -074°05.0000' 	2	37	Mantilla et al 2013a	 
8632	TFUS06	ADG-2013 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	 	 	Wild	South America	Colombia	 	Universidad Nacional de Colombia-Bogota	04°38.00000', -074°05.0000' 	13	44	Mantilla et al 2013b	 
8633	TFUS06	TFUS06	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	Resident	Unknown	Wild	South America	Colombia	Risaralda	El Bosque	04°43.00000', -075°27.00000'	1	1	Gonzalez et al 2015	 
8634	TFUS07	L_TFUS_07	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	 	 	Wild	South America	Colombia	 	Monteredondo station	04°37.00000′, -073°43.00000′	 	 	Matta et al 2014a	 
8635	TFUS12	L_TFUS_06	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	 	 	Wild	South America	Colombia	 	Monteredondo station	04°37.00000′, -073°43.00000′	 	 	Matta et al 2014a	 
